occurrence_guid,dataset_guid,who,what,when,where,url
680f82cf-4e79-4c2e-87ed-d6b4bc2ebf8b,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,,http://spcoco.org/ark:/680f82cf-4e79-4c2e-87ed-d6b4bc2ebf8b,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/680f82cf-4e79-4c2e-87ed-d6b4bc2ebf8b
251ce75c-f792-4e51-a7f9-f76fbd557125,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-8-14,http://spcoco.org/ark:/251ce75c-f792-4e51-a7f9-f76fbd557125,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/251ce75c-f792-4e51-a7f9-f76fbd557125
1c1b190b-7fff-402d-8d56-b5735bb738e8,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1987-11-12,http://spcoco.org/ark:/1c1b190b-7fff-402d-8d56-b5735bb738e8,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/1c1b190b-7fff-402d-8d56-b5735bb738e8
f1be2658-bb18-4df0-a993-4ea1c52db584,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-8-14,http://spcoco.org/ark:/f1be2658-bb18-4df0-a993-4ea1c52db584,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/f1be2658-bb18-4df0-a993-4ea1c52db584
dba4c01b-f43a-45f9-b9f6-14fcc88d75a7,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-8-14,http://spcoco.org/ark:/dba4c01b-f43a-45f9-b9f6-14fcc88d75a7,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/dba4c01b-f43a-45f9-b9f6-14fcc88d75a7
98faada4-0976-40ab-9745-31101f25f104,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-7-10,http://spcoco.org/ark:/98faada4-0976-40ab-9745-31101f25f104,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/98faada4-0976-40ab-9745-31101f25f104
88d850e8-a320-4e52-a69c-a07c26f824c7,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-7-11,http://spcoco.org/ark:/88d850e8-a320-4e52-a69c-a07c26f824c7,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/88d850e8-a320-4e52-a69c-a07c26f824c7
37c566cd-b446-49fa-a59b-2c36051bb0ba,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-7-11,http://spcoco.org/ark:/37c566cd-b446-49fa-a59b-2c36051bb0ba,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/37c566cd-b446-49fa-a59b-2c36051bb0ba
8fca75e8-beb1-4160-93b4-81e0816b611b,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-7-11,http://spcoco.org/ark:/8fca75e8-beb1-4160-93b4-81e0816b611b,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/8fca75e8-beb1-4160-93b4-81e0816b611b
b80bd3f9-f78e-4bbf-8238-122ab312840b,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-7-11,http://spcoco.org/ark:/b80bd3f9-f78e-4bbf-8238-122ab312840b,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/b80bd3f9-f78e-4bbf-8238-122ab312840b
